date,area
2017/8/14,620.0677754
2017/8/15,620.141832
2017/8/16,622.8526777
2017/8/17,621.5753716
2017/8/18,624.6685497
2017/8/19,619.9193403
2017/8/20,620.8426054
2017/8/21,624.0781931
2017/8/22,620.6325715
2017/8/23,620.0263501
2017/8/24,623.7236656
2017/8/25,623.5792749
2017/8/26,622.2137934
2017/8/27,625.0524889
2017/8/28,623.3579385
2017/8/29,624.1976094
2017/8/30,620.6527033
2017/8/31,622.6711412
2017/9/1,619.8724307
2017/9/2,621.1297593
2017/9/3,621.6874743
2017/9/4,622.1818371
2017/9/5,622.6301001
2017/9/6,623.6344136
2017/9/7,625.3772019
2017/9/8,622.7929509
2017/9/9,621.1262472
2017/9/10,623.985492
2017/9/11,624.0859641
2017/9/12,621.6339988
2017/9/13,624.5844187
2017/9/14,622.9350902
2017/9/15,624.9639134
2017/9/16,626.0551581
2017/9/17,622.9762983
2017/9/18,625.0410391
2017/9/19,627.7995479
2017/9/20,623.7857699
2017/9/21,624.7244749
2017/9/22,625.074544
2017/9/23,627.3885782
2017/9/24,626.375922
2017/9/25,626.9818703
2017/9/26,625.9014319
2017/9/27,626.107012
2017/9/28,624.1674409
2017/9/29,625.3884076
2017/9/30,627.3894154
2017/10/1,625.2659991
2017/10/2,627.3086317
2017/10/3,628.6154532
2017/10/4,623.6613316
2017/10/5,626.3210293
2017/10/6,626.0697016
2017/10/7,624.3583079
2017/10/8,627.5890614
2017/10/9,625.8797538
2017/10/10,626.548845
2017/10/11,624.9719342
2017/10/12,626.9349169
2017/10/13,625.8124302
2017/10/14,623.8844632
2017/10/15,627.033476
2017/10/16,626.6618009
2017/10/17,627.5910011
2017/10/18,623.5420284
2017/10/19,626.946457
2017/10/20,624.5217067
2017/10/21,625.0872483
2017/10/22,625.8358634
2017/10/23,622.5506298
2017/10/24,621.143444
2017/10/25,624.0390697
2017/10/26,621.4328883
2017/10/27,623.544062
2017/10/28,621.6385574
2017/10/29,622.5170274
2017/10/30,619.5284755
2017/10/31,622.772677
2017/11/1,623.5595533
2017/11/2,618.4820753
2017/11/3,619.4184617
2017/11/4,619.0165835
2017/11/5,622.2307486
2017/11/6,619.7583986
2017/11/7,619.5553752
2017/11/8,618.8859078
2017/11/9,620.3318746
2017/11/10,616.6538483
2017/11/11,617.5598628
2017/11/12,615.12653
2017/11/13,615.4588306
2017/11/14,615.7000488
2017/11/15,614.6497097
2017/11/16,617.9100771
2017/11/17,616.65116
2017/11/18,613.9855112
2017/11/19,615.3219152
2017/11/20,618.348614
2017/11/21,619.7982638
2017/11/22,617.2588254
2017/11/23,617.4539014
2017/11/24,614.5683134
2017/11/25,615.4986905
2017/11/26,618.0577416
2017/11/27,617.7605278
2017/11/28,615.4280579
2017/11/29,621.1682488
2017/11/30,620.762338
2017/12/1,619.041697
2017/12/2,619.1714638
2017/12/3,619.3878801
2017/12/4,621.1249095
2017/12/5,623.381512
2017/12/6,622.7017075
2017/12/7,621.5502471
2017/12/8,622.5969329
2017/12/9,624.3926699
2017/12/10,625.6578185
2017/12/11,628.4486287
2017/12/12,627.3838094
2017/12/13,628.3202401
2017/12/14,629.2850189
2017/12/15,629.8341821
2017/12/16,631.2127507
2017/12/17,630.3099268
2017/12/18,631.2545274
2017/12/19,629.6383426
2017/12/20,630.0369321
2017/12/21,627.2027538
2017/12/22,626.4830046
2017/12/23,622.8375981
2017/12/24,627.6804895
2017/12/25,630.3175054
2017/12/26,627.6918583
2017/12/27,631.1881334
2017/12/28,625.4030774
2017/12/29,628.4259762
2017/12/30,631.1802185
2017/12/31,626.5609228
